Customer_ID,Actual_Churn,Churn_Probability,Risk_Score,Risk_Level,Retention_Priority,Recommended_Action
CUST140931,1,0.98076737,98.08,Critical,Immediate,Immediate retention intervention
CUST144487,1,0.980666,98.07,Critical,Immediate,Immediate retention intervention
CUST114697,1,0.98056877,98.06,Critical,Immediate,Immediate retention intervention
CUST102680,1,0.98061645,98.06,Critical,Immediate,Immediate retention intervention
CUST114112,1,0.98062354,98.06,Critical,Immediate,Immediate retention intervention
CUST131092,1,0.98060375,98.06,Critical,Immediate,Immediate retention intervention
CUST136325,1,0.9805684,98.06,Critical,Immediate,Immediate retention intervention
CUST121425,1,0.9806473,98.06,Critical,Immediate,Immediate retention intervention
CUST111469,1,0.98046744,98.05,Critical,Immediate,Immediate retention intervention
CUST137189,1,0.9805398,98.05,Critical,Immediate,Immediate retention intervention
CUST105148,1,0.98043203,98.04,Critical,Immediate,Immediate retention intervention
CUST132977,1,0.98038715,98.04,Critical,Immediate,Immediate retention intervention
CUST132977,1,0.98038715,98.04,Critical,Immediate,Immediate retention intervention
CUST114861,1,0.9804208,98.04,Critical,Immediate,Immediate retention intervention
CUST104465,1,0.9802632,98.03,Critical,Immediate,Immediate retention intervention
CUST139658,1,0.9802894,98.03,Critical,Immediate,Immediate retention intervention
CUST129621,1,0.9802986,98.03,Critical,Immediate,Immediate retention intervention
CUST145496,1,0.98030233,98.03,Critical,Immediate,Immediate retention intervention
CUST107498,1,0.98030096,98.03,Critical,Immediate,Immediate retention intervention
CUST126744,1,0.9803022,98.03,Critical,Immediate,Immediate retention intervention
CUST116237,1,0.98021173,98.02,Critical,Immediate,Immediate retention intervention
CUST143349,1,0.9802351,98.02,Critical,Immediate,Immediate retention intervention
CUST104901,1,0.98023,98.02,Critical,Immediate,Immediate retention intervention
CUST135852,1,0.98014534,98.01,Critical,Immediate,Immediate retention intervention
CUST141863,1,0.9800602,98.01,Critical,Immediate,Immediate retention intervention
CUST140494,1,0.98006207,98.01,Critical,Immediate,Immediate retention intervention
CUST119662,1,0.9800724,98.01,Critical,Immediate,Immediate retention intervention
CUST123773,1,0.97990006,97.99,Critical,Immediate,Immediate retention intervention
CUST115011,1,0.9799226,97.99,Critical,Immediate,Immediate retention intervention
CUST140532,1,0.9798937,97.99,Critical,Immediate,Immediate retention intervention
CUST129346,1,0.9798004,97.98,Critical,Immediate,Immediate retention intervention
CUST132017,1,0.97976214,97.98,Critical,Immediate,Immediate retention intervention
CUST121527,1,0.979762,97.98,Critical,Immediate,Immediate retention intervention
CUST137573,1,0.9797655,97.98,Critical,Immediate,Immediate retention intervention
CUST129829,1,0.97979283,97.98,Critical,Immediate,Immediate retention intervention
CUST132602,1,0.9796887,97.97,Critical,Immediate,Immediate retention intervention
CUST115191,1,0.9796595,97.97,Critical,Immediate,Immediate retention intervention
CUST135002,1,0.9796689,97.97,Critical,Immediate,Immediate retention intervention
CUST134453,1,0.9797466,97.97,Critical,Immediate,Immediate retention intervention
CUST131090,1,0.9796276,97.96,Critical,Immediate,Immediate retention intervention
CUST103441,1,0.97959363,97.96,Critical,Immediate,Immediate retention intervention
CUST104293,1,0.9795349,97.95,Critical,Immediate,Immediate retention intervention
CUST133450,1,0.97945887,97.95,Critical,Immediate,Immediate retention intervention
CUST121384,1,0.9794033,97.94,Critical,Immediate,Immediate retention intervention
CUST138691,1,0.9794453,97.94,Critical,Immediate,Immediate retention intervention
CUST147947,1,0.97937644,97.94,Critical,Immediate,Immediate retention intervention
CUST127853,1,0.9794351,97.94,Critical,Immediate,Immediate retention intervention
CUST124273,1,0.9793577,97.94,Critical,Immediate,Immediate retention intervention
CUST132311,1,0.9793897,97.94,Critical,Immediate,Immediate retention intervention
CUST110941,1,0.9792637,97.93,Critical,Immediate,Immediate retention intervention
CUST108111,1,0.97927046,97.93,Critical,Immediate,Immediate retention intervention
CUST110440,1,0.9792916,97.93,Critical,Immediate,Immediate retention intervention
CUST140951,1,0.97929525,97.93,Critical,Immediate,Immediate retention intervention
CUST112355,0,0.9793363,97.93,Critical,Immediate,Immediate retention intervention
CUST124922,1,0.97933674,97.93,Critical,Immediate,Immediate retention intervention
CUST128606,1,0.9792214,97.92,Critical,Immediate,Immediate retention intervention
CUST145498,1,0.9791613,97.92,Critical,Immediate,Immediate retention intervention
CUST104706,1,0.9790588,97.91,Critical,Immediate,Immediate retention intervention
CUST113888,1,0.9791266,97.91,Critical,Immediate,Immediate retention intervention
CUST115641,1,0.97908497,97.91,Critical,Immediate,Immediate retention intervention
CUST115731,1,0.979074,97.91,Critical,Immediate,Immediate retention intervention
CUST101561,1,0.97906405,97.91,Critical,Immediate,Immediate retention intervention
CUST144208,1,0.9790602,97.91,Critical,Immediate,Immediate retention intervention
CUST127027,1,0.9791006,97.91,Critical,Immediate,Immediate retention intervention
CUST137889,1,0.97908884,97.91,Critical,Immediate,Immediate retention intervention
CUST124552,1,0.97903925,97.9,Critical,Immediate,Immediate retention intervention
CUST140713,1,0.9790238,97.9,Critical,Immediate,Immediate retention intervention
CUST104988,1,0.9789829,97.9,Critical,Immediate,Immediate retention intervention
CUST144069,1,0.9790415,97.9,Critical,Immediate,Immediate retention intervention
CUST109509,1,0.97897905,97.9,Critical,Immediate,Immediate retention intervention
CUST142840,1,0.978962,97.9,Critical,Immediate,Immediate retention intervention
CUST145625,1,0.9789251,97.89,Critical,Immediate,Immediate retention intervention
CUST143234,1,0.9789235,97.89,Critical,Immediate,Immediate retention intervention
CUST127697,1,0.9788673,97.89,Critical,Immediate,Immediate retention intervention
CUST135512,1,0.97882324,97.88,Critical,Immediate,Immediate retention intervention
CUST114052,1,0.9787732,97.88,Critical,Immediate,Immediate retention intervention
CUST133426,1,0.97878116,97.88,Critical,Immediate,Immediate retention intervention
CUST124026,1,0.97865593,97.87,Critical,Immediate,Immediate retention intervention
CUST106183,1,0.9787163,97.87,Critical,Immediate,Immediate retention intervention
CUST139348,1,0.97870284,97.87,Critical,Immediate,Immediate retention intervention
CUST106282,1,0.97870797,97.87,Critical,Immediate,Immediate retention intervention
CUST144734,1,0.9786846,97.87,Critical,Immediate,Immediate retention intervention
CUST102463,1,0.9786621,97.87,Critical,Immediate,Immediate retention intervention
CUST115851,1,0.9787163,97.87,Critical,Immediate,Immediate retention intervention
CUST118532,1,0.978558,97.86,Critical,Immediate,Immediate retention intervention
CUST104783,1,0.97856516,97.86,Critical,Immediate,Immediate retention intervention
CUST106844,1,0.9785792,97.86,Critical,Immediate,Immediate retention intervention
CUST142686,1,0.9785282,97.85,Critical,Immediate,Immediate retention intervention
CUST126905,1,0.9785388,97.85,Critical,Immediate,Immediate retention intervention
CUST116795,0,0.9783635,97.84,Critical,Immediate,Immediate retention intervention
CUST113785,1,0.978395,97.84,Critical,Immediate,Immediate retention intervention
CUST129624,1,0.97841746,97.84,Critical,Immediate,Immediate retention intervention
CUST115431,1,0.9783875,97.84,Critical,Immediate,Immediate retention intervention
CUST123956,1,0.97838527,97.84,Critical,Immediate,Immediate retention intervention
CUST116697,1,0.97844714,97.84,Critical,Immediate,Immediate retention intervention
CUST112459,1,0.97836816,97.84,Critical,Immediate,Immediate retention intervention
CUST126295,1,0.9784436,97.84,Critical,Immediate,Immediate retention intervention
CUST129871,1,0.97834456,97.83,Critical,Immediate,Immediate retention intervention
CUST137846,1,0.9782624,97.83,Critical,Immediate,Immediate retention intervention
CUST106932,1,0.97833383,97.83,Critical,Immediate,Immediate retention intervention
CUST100128,1,0.9782249,97.82,Critical,Immediate,Immediate retention intervention
CUST121460,1,0.97824794,97.82,Critical,Immediate,Immediate retention intervention
CUST131169,1,0.97816956,97.82,Critical,Immediate,Immediate retention intervention
CUST132373,1,0.9781794,97.82,Critical,Immediate,Immediate retention intervention
CUST100553,1,0.9781251,97.81,Critical,Immediate,Immediate retention intervention
CUST136618,1,0.97814846,97.81,Critical,Immediate,Immediate retention intervention
CUST124002,1,0.9780426,97.8,Critical,Immediate,Immediate retention intervention
CUST141458,1,0.97795355,97.8,Critical,Immediate,Immediate retention intervention
CUST119725,1,0.9779399,97.79,Critical,Immediate,Immediate retention intervention
CUST128817,1,0.9778928,97.79,Critical,Immediate,Immediate retention intervention
CUST119725,1,0.9779399,97.79,Critical,Immediate,Immediate retention intervention
CUST139840,1,0.9779074,97.79,Critical,Immediate,Immediate retention intervention
CUST110508,1,0.97789073,97.79,Critical,Immediate,Immediate retention intervention
CUST103626,1,0.9779443,97.79,Critical,Immediate,Immediate retention intervention
CUST115183,1,0.97789586,97.79,Critical,Immediate,Immediate retention intervention
CUST117665,1,0.9777975,97.78,Critical,Immediate,Immediate retention intervention
CUST105015,1,0.97776526,97.78,Critical,Immediate,Immediate retention intervention
CUST138159,1,0.977763,97.78,Critical,Immediate,Immediate retention intervention
CUST120670,0,0.9778115,97.78,Critical,Immediate,Immediate retention intervention
CUST141320,1,0.9777696,97.78,Critical,Immediate,Immediate retention intervention
CUST115888,1,0.97781813,97.78,Critical,Immediate,Immediate retention intervention
CUST123636,1,0.9777232,97.77,Critical,Immediate,Immediate retention intervention
CUST128839,0,0.97767216,97.77,Critical,Immediate,Immediate retention intervention
CUST128821,1,0.97765076,97.77,Critical,Immediate,Immediate retention intervention
CUST147491,1,0.9775558,97.76,Critical,Immediate,Immediate retention intervention
CUST105874,1,0.97755706,97.76,Critical,Immediate,Immediate retention intervention
CUST102847,1,0.9775853,97.76,Critical,Immediate,Immediate retention intervention
CUST140065,1,0.97758377,97.76,Critical,Immediate,Immediate retention intervention
CUST102847,1,0.9775853,97.76,Critical,Immediate,Immediate retention intervention
CUST136513,0,0.9776199,97.76,Critical,Immediate,Immediate retention intervention
CUST125494,1,0.9775702,97.76,Critical,Immediate,Immediate retention intervention
CUST136589,1,0.97748625,97.75,Critical,Immediate,Immediate retention intervention
CUST104179,1,0.97748977,97.75,Critical,Immediate,Immediate retention intervention
CUST110630,1,0.97754675,97.75,Critical,Immediate,Immediate retention intervention
CUST141728,1,0.9775293,97.75,Critical,Immediate,Immediate retention intervention
CUST143600,1,0.97736484,97.74,Critical,Immediate,Immediate retention intervention
CUST128863,1,0.9774499,97.74,Critical,Immediate,Immediate retention intervention
CUST111458,1,0.9774187,97.74,Critical,Immediate,Immediate retention intervention
CUST122159,1,0.9773393,97.73,Critical,Immediate,Immediate retention intervention
CUST132119,1,0.9772923,97.73,Critical,Immediate,Immediate retention intervention
CUST117505,1,0.9772659,97.73,Critical,Immediate,Immediate retention intervention
CUST141264,1,0.9772216,97.72,Critical,Immediate,Immediate retention intervention
CUST109477,1,0.9771897,97.72,Critical,Immediate,Immediate retention intervention
CUST122548,1,0.9771543,97.72,Critical,Immediate,Immediate retention intervention
CUST117268,1,0.97708976,97.71,Critical,Immediate,Immediate retention intervention
CUST117503,1,0.97711676,97.71,Critical,Immediate,Immediate retention intervention
CUST128138,1,0.977111,97.71,Critical,Immediate,Immediate retention intervention
CUST101832,1,0.97703767,97.7,Critical,Immediate,Immediate retention intervention
CUST101720,1,0.9769577,97.7,Critical,Immediate,Immediate retention intervention
CUST129009,1,0.9769959,97.7,Critical,Immediate,Immediate retention intervention
CUST141715,1,0.9770174,97.7,Critical,Immediate,Immediate retention intervention
CUST100072,1,0.97697544,97.7,Critical,Immediate,Immediate retention intervention
CUST128008,1,0.97694665,97.69,Critical,Immediate,Immediate retention intervention
CUST140024,1,0.9769422,97.69,Critical,Immediate,Immediate retention intervention
CUST146421,1,0.976932,97.69,Critical,Immediate,Immediate retention intervention
CUST129848,1,0.9767566,97.68,Critical,Immediate,Immediate retention intervention
CUST109777,1,0.97683775,97.68,Critical,Immediate,Immediate retention intervention
CUST107853,1,0.9767661,97.68,Critical,Immediate,Immediate retention intervention
CUST123823,1,0.9767413,97.67,Critical,Immediate,Immediate retention intervention
CUST121167,0,0.9766962,97.67,Critical,Immediate,Immediate retention intervention
CUST122068,1,0.9766817,97.67,Critical,Immediate,Immediate retention intervention
CUST124282,1,0.9767154,97.67,Critical,Immediate,Immediate retention intervention
CUST143095,1,0.9766574,97.67,Critical,Immediate,Immediate retention intervention
CUST147579,1,0.97669446,97.67,Critical,Immediate,Immediate retention intervention
CUST139471,1,0.9767099,97.67,Critical,Immediate,Immediate retention intervention
CUST126244,1,0.9767085,97.67,Critical,Immediate,Immediate retention intervention
CUST112946,1,0.976644,97.66,Critical,Immediate,Immediate retention intervention
CUST124930,1,0.9766233,97.66,Critical,Immediate,Immediate retention intervention
CUST118304,1,0.97659165,97.66,Critical,Immediate,Immediate retention intervention
CUST117692,1,0.97659576,97.66,Critical,Immediate,Immediate retention intervention
CUST108572,1,0.9765785,97.66,Critical,Immediate,Immediate retention intervention
CUST132838,1,0.9766392,97.66,Critical,Immediate,Immediate retention intervention
CUST104242,1,0.9765054,97.65,Critical,Immediate,Immediate retention intervention
CUST103906,1,0.9765345,97.65,Critical,Immediate,Immediate retention intervention
CUST113858,1,0.9764509,97.65,Critical,Immediate,Immediate retention intervention
CUST125747,1,0.9764613,97.65,Critical,Immediate,Immediate retention intervention
CUST103468,1,0.9765168,97.65,Critical,Immediate,Immediate retention intervention
CUST136630,1,0.976499,97.65,Critical,Immediate,Immediate retention intervention
CUST146386,1,0.9765394,97.65,Critical,Immediate,Immediate retention intervention
CUST142915,1,0.97650206,97.65,Critical,Immediate,Immediate retention intervention
CUST134648,1,0.97643524,97.64,Critical,Immediate,Immediate retention intervention
CUST146907,1,0.976443,97.64,Critical,Immediate,Immediate retention intervention
CUST146139,1,0.97638786,97.64,Critical,Immediate,Immediate retention intervention
CUST110441,1,0.9764282,97.64,Critical,Immediate,Immediate retention intervention
CUST137392,0,0.97643363,97.64,Critical,Immediate,Immediate retention intervention
CUST130869,1,0.976355,97.64,Critical,Immediate,Immediate retention intervention
CUST113884,1,0.9764321,97.64,Critical,Immediate,Immediate retention intervention
CUST144770,1,0.97627527,97.63,Critical,Immediate,Immediate retention intervention
CUST145267,1,0.9762748,97.63,Critical,Immediate,Immediate retention intervention
CUST142213,1,0.97634125,97.63,Critical,Immediate,Immediate retention intervention
CUST136007,1,0.9763417,97.63,Critical,Immediate,Immediate retention intervention
CUST124603,1,0.9763075,97.63,Critical,Immediate,Immediate retention intervention
CUST133931,1,0.9761722,97.62,Critical,Immediate,Immediate retention intervention
CUST124868,1,0.97619027,97.62,Critical,Immediate,Immediate retention intervention
CUST114105,1,0.976185,97.62,Critical,Immediate,Immediate retention intervention
CUST134862,1,0.97620684,97.62,Critical,Immediate,Immediate retention intervention
CUST138605,1,0.9761427,97.61,Critical,Immediate,Immediate retention intervention
CUST140626,1,0.9760566,97.61,Critical,Immediate,Immediate retention intervention
CUST132576,1,0.97607553,97.61,Critical,Immediate,Immediate retention intervention
CUST104220,1,0.9761292,97.61,Critical,Immediate,Immediate retention intervention
CUST112546,1,0.97612816,97.61,Critical,Immediate,Immediate retention intervention
CUST124639,1,0.976075,97.61,Critical,Immediate,Immediate retention intervention
CUST142456,1,0.9761105,97.61,Critical,Immediate,Immediate retention intervention
CUST131377,0,0.97600615,97.6,Critical,Immediate,Immediate retention intervention
CUST112703,1,0.9759906,97.6,Critical,Immediate,Immediate retention intervention
CUST144642,1,0.9759913,97.6,Critical,Immediate,Immediate retention intervention
CUST134382,1,0.97589934,97.59,Critical,Immediate,Immediate retention intervention
CUST127165,1,0.9757981,97.58,Critical,Immediate,Immediate retention intervention
CUST118565,1,0.97579944,97.58,Critical,Immediate,Immediate retention intervention
CUST123447,1,0.97571635,97.57,Critical,Immediate,Immediate retention intervention
CUST119316,1,0.97571474,97.57,Critical,Immediate,Immediate retention intervention
CUST127189,1,0.9757096,97.57,Critical,Immediate,Immediate retention intervention
CUST120520,1,0.97574586,97.57,Critical,Immediate,Immediate retention intervention
CUST103616,0,0.9756597,97.57,Critical,Immediate,Immediate retention intervention
CUST145813,1,0.9757036,97.57,Critical,Immediate,Immediate retention intervention
CUST124960,1,0.9755553,97.56,Critical,Immediate,Immediate retention intervention
CUST113825,1,0.9756412,97.56,Critical,Immediate,Immediate retention intervention
CUST127823,1,0.97556406,97.56,Critical,Immediate,Immediate retention intervention
CUST115260,1,0.97562927,97.56,Critical,Immediate,Immediate retention intervention
CUST108845,1,0.97556734,97.56,Critical,Immediate,Immediate retention intervention
CUST129258,1,0.9756153,97.56,Critical,Immediate,Immediate retention intervention
CUST104702,1,0.9754853,97.55,Critical,Immediate,Immediate retention intervention
CUST103835,1,0.97554094,97.55,Critical,Immediate,Immediate retention intervention
CUST118477,1,0.9754875,97.55,Critical,Immediate,Immediate retention intervention
CUST105144,1,0.9754655,97.55,Critical,Immediate,Immediate retention intervention
CUST141137,1,0.97545165,97.55,Critical,Immediate,Immediate retention intervention
CUST113798,1,0.97542655,97.54,Critical,Immediate,Immediate retention intervention
CUST144878,1,0.9753856,97.54,Critical,Immediate,Immediate retention intervention
CUST138944,1,0.9754336,97.54,Critical,Immediate,Immediate retention intervention
CUST144939,1,0.9753549,97.54,Critical,Immediate,Immediate retention intervention
CUST141388,1,0.97542137,97.54,Critical,Immediate,Immediate retention intervention
CUST144837,1,0.97543675,97.54,Critical,Immediate,Immediate retention intervention
CUST140482,1,0.97544086,97.54,Critical,Immediate,Immediate retention intervention
CUST122050,1,0.97536725,97.54,Critical,Immediate,Immediate retention intervention
CUST139991,1,0.9752728,97.53,Critical,Immediate,Immediate retention intervention
CUST124281,1,0.9753086,97.53,Critical,Immediate,Immediate retention intervention
CUST143269,1,0.9752941,97.53,Critical,Immediate,Immediate retention intervention
CUST104161,1,0.9752738,97.53,Critical,Immediate,Immediate retention intervention
CUST113365,0,0.97519207,97.52,Critical,Immediate,Immediate retention intervention
CUST137962,1,0.9752396,97.52,Critical,Immediate,Immediate retention intervention
CUST144306,1,0.975154,97.52,Critical,Immediate,Immediate retention intervention
CUST140038,1,0.97518563,97.52,Critical,Immediate,Immediate retention intervention
CUST102500,0,0.975089,97.51,Critical,Immediate,Immediate retention intervention
CUST141343,1,0.9750872,97.51,Critical,Immediate,Immediate retention intervention
CUST120954,1,0.9751381,97.51,Critical,Immediate,Immediate retention intervention
CUST139992,1,0.97510344,97.51,Critical,Immediate,Immediate retention intervention
CUST130356,0,0.97503245,97.5,Critical,Immediate,Immediate retention intervention
CUST101429,1,0.9750039,97.5,Critical,Immediate,Immediate retention intervention
CUST112431,1,0.97501636,97.5,Critical,Immediate,Immediate retention intervention
CUST111526,1,0.9749715,97.5,Critical,Immediate,Immediate retention intervention
CUST141383,1,0.9749902,97.5,Critical,Immediate,Immediate retention intervention
CUST135008,1,0.97499096,97.5,Critical,Immediate,Immediate retention intervention
CUST129993,1,0.9748549,97.49,Critical,Immediate,Immediate retention intervention
CUST118676,1,0.9749492,97.49,Critical,Immediate,Immediate retention intervention
CUST139602,1,0.974853,97.49,Critical,Immediate,Immediate retention intervention
CUST121528,1,0.9748702,97.49,Critical,Immediate,Immediate retention intervention
CUST109110,1,0.974878,97.49,Critical,Immediate,Immediate retention intervention
CUST134710,1,0.974883,97.49,Critical,Immediate,Immediate retention intervention
CUST105459,1,0.974857,97.49,Critical,Immediate,Immediate retention intervention
CUST138815,1,0.9749395,97.49,Critical,Immediate,Immediate retention intervention
CUST145900,1,0.97478217,97.48,Critical,Immediate,Immediate retention intervention
CUST136746,1,0.9748409,97.48,Critical,Immediate,Immediate retention intervention
CUST132321,1,0.97483134,97.48,Critical,Immediate,Immediate retention intervention
CUST130559,1,0.9747669,97.48,Critical,Immediate,Immediate retention intervention
CUST131734,1,0.97479826,97.48,Critical,Immediate,Immediate retention intervention
CUST142208,1,0.97476804,97.48,Critical,Immediate,Immediate retention intervention
CUST120021,1,0.9747526,97.48,Critical,Immediate,Immediate retention intervention
CUST119508,1,0.97478354,97.48,Critical,Immediate,Immediate retention intervention
CUST121803,1,0.9747808,97.48,Critical,Immediate,Immediate retention intervention
CUST116229,1,0.97477144,97.48,Critical,Immediate,Immediate retention intervention
CUST106237,1,0.9748028,97.48,Critical,Immediate,Immediate retention intervention
CUST125492,1,0.9747515,97.48,Critical,Immediate,Immediate retention intervention
CUST136766,1,0.97471607,97.47,Critical,Immediate,Immediate retention intervention
CUST134288,1,0.9746731,97.47,Critical,Immediate,Immediate retention intervention
CUST135914,1,0.97473633,97.47,Critical,Immediate,Immediate retention intervention
CUST100758,1,0.9745874,97.46,Critical,Immediate,Immediate retention intervention
CUST131577,1,0.9745532,97.46,Critical,Immediate,Immediate retention intervention
CUST130065,1,0.9746411,97.46,Critical,Immediate,Immediate retention intervention
CUST126291,1,0.9745721,97.46,Critical,Immediate,Immediate retention intervention
CUST115407,1,0.97463846,97.46,Critical,Immediate,Immediate retention intervention
CUST132137,0,0.97459704,97.46,Critical,Immediate,Immediate retention intervention
CUST115464,1,0.97457063,97.46,Critical,Immediate,Immediate retention intervention
CUST119597,1,0.9745593,97.46,Critical,Immediate,Immediate retention intervention
CUST119556,1,0.9744899,97.45,Critical,Immediate,Immediate retention intervention
CUST100110,1,0.9745412,97.45,Critical,Immediate,Immediate retention intervention
CUST104208,1,0.97448766,97.45,Critical,Immediate,Immediate retention intervention
CUST145984,1,0.9745141,97.45,Critical,Immediate,Immediate retention intervention
CUST139709,1,0.97452193,97.45,Critical,Immediate,Immediate retention intervention
CUST104087,1,0.9745062,97.45,Critical,Immediate,Immediate retention intervention
CUST141784,1,0.97447973,97.45,Critical,Immediate,Immediate retention intervention
CUST106628,1,0.9743746,97.44,Critical,Immediate,Immediate retention intervention
CUST139385,1,0.97440505,97.44,Critical,Immediate,Immediate retention intervention
CUST100455,1,0.9743347,97.43,Critical,Immediate,Immediate retention intervention
CUST132398,1,0.97429854,97.43,Critical,Immediate,Immediate retention intervention
CUST105967,1,0.9742603,97.43,Critical,Immediate,Immediate retention intervention
CUST121589,1,0.97431344,97.43,Critical,Immediate,Immediate retention intervention
CUST138581,0,0.9743025,97.43,Critical,Immediate,Immediate retention intervention
CUST104836,1,0.9742809,97.43,Critical,Immediate,Immediate retention intervention
