Customer_ID,Age,Gender,Location,Tenure,Contract_Type,Subscription_Plan,Monthly_Charges,Total_Charges,Payment_Method,Internet_Service,Login_Frequency,Support_Tickets,Complaints,Avg_Session_Duration,Last_Login,Churn
CUST144306,35.0,female,Bengaluru,25.0,Month-to-Month,Premium,1222.79,35144.76,Debit Card,DSL,3.0,1.0,1.0,48.1,2026-08-20,1
CUST147523,63.0,female,Kolkata,22.0,Month-to-Month,Premium,1125.08,27449.88,UPI,DSL,17.0,2.0,1.0,65.4,2026-09-10,1
CUST132208,39.0,female,Jaipur,28.0,Two Year,Basic,575.32,16653.05,Credit Card,Cable,17.0,2.0,1.0,37.4,2026-07-21,0
CUST102531,71.0,female,Hyderabad,4.0,Month-to-Month,Premium,1266.61,5310.12,Credit Card,DSL,12.0,3.0,0.0,32.6,2026-09-09,1
CUST117747,20.0,male,Mumbai,66.0,Two Year,Standard,838.68,52288.39,Net Banking,Cable,11.0,3.0,1.0,26.7,2026-08-30,1
CUST108271,37.0,female,Ahmedabad,63.0,Month-to-Month,Premium,1192.89,79234.39,UPI,DSL,12.0,1.0,1.0,33.0,2026-07-28,1
CUST115080,33.0,male,Hyderabad,56.0,Month-to-Month,Basic,407.63,23195.25,Credit Card,DSL,10.0,0.0,1.0,39.3,2026-09-03,0
CUST113625,22.0,male,Delhi,14.0,Two Year,Basic,536.27,6400.13,Debit Card,Mobile Data,7.0,2.0,1.0,33.8,2026-09-05,0
CUST130639,36.0,female,Kochi,66.0,Two Year,Basic,599.25,41223.84,Credit Card,Cable,15.0,3.0,0.0,76.1,2026-08-21,0
CUST130441,51.0,male,Jaipur,21.0,Month-to-Month,Basic,529.28,11654.38,UPI,Fiber,9.0,3.0,1.0,44.1,2026-07-30,0
CUST136057,59.0,female,Kolkata,56.0,Month-to-Month,Standard,795.62,50881.4,UPI,,7.0,0.0,0.0,51.2,2026-09-07,1
CUST142652,63.0,female,Kolkata,25.0,Month-to-Month,Basic,573.78,15851.34,Cash,Cable,16.0,1.0,1.0,39.0,2026-08-08,0
CUST136804,42.0,female,Bengaluru,57.0,Two Year,Standard,866.65,42816.02,Cash,Fiber,11.0,2.0,0.0,44.6,2026-07-05,1
CUST104693,75.0,male,Kochi,60.0,Two Year,Standard,819.55,53562.39,UPI,Fiber,11.0,1.0,1.0,47.4,2026-06-16,1
CUST129227,74.0,male,Bengaluru,12.0,One Year,Basic,382.78,5053.28,UPI,DSL,10.0,3.0,1.0,67.7,2026-06-21,0
CUST105634,34.0,female,Kolkata,20.0,Two Year,Premium,1266.16,24115.42,Net Banking,Fiber,19.0,1.0,2.0,38.8,2026-07-03,1
CUST105988,49.0,male,Bengaluru,41.0,One Year,Basic,478.66,18476.02,Auto Debit,Cable,10.0,1.0,0.0,49.8,2026-09-05,0
CUST117711,53.0,male,Ahmedabad,24.0,Month-to-Month,Standard,680.51,16539.6,UPI,DSL,15.0,9.0,1.0,43.8,2026-07-10,0
CUST101813,57.0,female,Kolkata,26.0,One Year,Basic,361.64,10782.36,Net Banking,,12.0,3.0,1.0,33.9,2026-08-28,0
CUST127579,35.0,female,Ahmedabad,5.0,Month-to-Month,Premium,1251.08,6077.15,Debit Card,Mobile Data,7.0,1.0,0.0,38.2,2026-08-31,1
CUST116824,47.0,male,Jaipur,48.0,Month-to-Month,Standard,762.88,32297.32,Auto Debit,Mobile Data,17.0,3.0,0.0,37.3,2026-07-14,1
CUST103929,56.0,male,Ahmedabad,70.0,Two Year,Basic,406.93,28514.98,Auto Debit,Fiber,18.0,2.0,1.0,36.8,2026-07-29,0
CUST137287,58.0,male,Kochi,51.0,Month-to-Month,Basic,391.53,18424.27,Net Banking,Cable,8.0,3.0,2.0,41.5,2026-07-23,0
CUST125046,72.0,female,Pune,69.0,Two Year,Basic,518.7,37749.25,Credit Card,DSL,8.0,3.0,0.0,40.7,2026-07-10,0
CUST115728,46.0,female,Kochi,24.0,One Year,Basic,492.76,10218.06,UPI,Fiber,13.0,3.0,0.0,46.6,2026-08-05,0
CUST129601,37.0,female,Bengaluru,45.0,Two Year,Basic,525.92,20435.73,Debit Card,DSL,6.0,4.0,1.0,54.7,2026-07-30,0
CUST110431,51.0,female,Ahmedabad,30.0,Two Year,Basic,438.41,14333.69,Auto Debit,,3.0,6.0,1.0,55.4,2026-07-11,0
CUST125769,53.0,female,Bengaluru,37.0,One Year,Standard,870.75,36455.19,Credit Card,Fiber,16.0,3.0,1.0,36.3,2026-07-09,1
CUST129104,21.0,female,Hyderabad,,Month-to-Month,Standard,764.92,15905.88,Debit Card,Fiber,14.0,2.0,0.0,7.2,2026-06-22,0
CUST136538,27.0,male,Bengaluru,22.0,Month-to-Month,Basic,440.16,8943.14,UPI,,5.0,1.0,0.0,38.0,2026-08-09,0
CUST139329,45.0,male,Delhi,55.0,Month-to-Month,Basic,565.2,28012.12,UPI,Fiber,7.0,3.0,0.0,44.8,2026-08-02,0
CUST135540,49.0,female,Ahmedabad,31.0,Month-to-Month,Standard,675.67,22335.42,UPI,Fiber,10.0,4.0,0.0,45.1,2026-07-02,0
CUST128076,35.0,male,Chennai,6.0,One Year,Standard,802.3,4302.38,Credit Card,Cable,11.0,0.0,0.0,36.3,2026-09-05,0
CUST117841,45.0,female,Bengaluru,25.0,Two Year,Basic,472.86,,UPI,DSL,13.0,3.0,0.0,56.2,2026-06-17,0
CUST127803,22.0,female,Hyderabad,4.0,Two Year,Standard,756.09,2622.06,Auto Debit,Cable,8.0,6.0,1.0,43.6,2026-07-23,1
CUST107683,68.0,male,Kochi,42.0,Month-to-Month,Basic,375.23,15910.01,UPI,Cable,14.0,5.0,1.0,46.8,2026-08-01,0
CUST124280,62.0,female,Delhi,10.0,Month-to-Month,Basic,609.23,5627.35,Credit Card,,11.0,2.0,1.0,49.6,2026-08-29,0
CUST133071,20.0,female,Ahmedabad,64.0,One Year,Standard,769.35,44078.62,UPI,DSL,8.0,3.0,0.0,57.5,2026-09-11,0
CUST135558,21.0,male,Kolkata,72.0,Month-to-Month,Premium,1203.1,76456.35,Debit Card,Fiber,9.0,1.0,1.0,5.0,2026-07-10,1
CUST137190,21.0,male,Kolkata,49.0,Two Year,Standard,815.58,41750.65,,DSL,17.0,3.0,2.0,22.9,2026-08-06,0
CUST147150,20.0,male,Jaipur,43.0,One Year,Standard,828.56,35384.58,Debit Card,Mobile Data,12.0,2.0,1.0,27.2,2026-08-05,0
CUST146916,59.0,female,Delhi,71.0,Month-to-Month,Standard,849.2,57427.03,Debit Card,,14.0,2.0,0.0,44.4,2026-06-19,1
CUST109802,46.0,male,Mumbai,9.0,Two Year,Standard,887.12,8962.07,Cash,Fiber,11.0,3.0,1.0,46.5,2026-09-11,0
CUST138801,58.0,female,Kochi,49.0,Month-to-Month,Basic,495.05,24471.61,Debit Card,Fiber,9.0,1.0,3.0,49.2,2026-08-15,0
CUST124670,23.0,female,Jaipur,67.0,Month-to-Month,Premium,1256.22,96529.87,UPI,DSL,12.0,2.0,0.0,16.0,2026-08-10,1
CUST144234,44.0,male,Bengaluru,45.0,Two Year,Standard,725.16,28151.26,Net Banking,Fiber,8.0,3.0,0.0,40.2,2026-06-23,0
CUST131920,25.0,male,Mumbai,47.0,,Basic,423.83,19823.25,Auto Debit,Cable,9.0,0.0,0.0,51.1,2026-08-30,0
CUST107135,18.0,female,Hyderabad,5.0,Month-to-Month,Premium,1146.63,5217.23,Credit Card,Fiber,20.0,2.0,2.0,26.5,2026-09-10,1
CUST133705,28.0,female,Kolkata,69.0,Month-to-Month,Standard,786.67,58260.37,Debit Card,Mobile Data,7.0,4.0,,49.4,2026-07-22,0
CUST129661,70.0,female,Mumbai,33.0,Month-to-Month,Basic,523.3,18039.26,Net Banking,Cable,17.0,1.0,,13.8,2026-09-06,0
CUST117894,21.0,male,Ahmedabad,67.0,Month-to-Month,Standard,751.82,55120.42,Cash,Fiber,7.0,3.0,0.0,44.4,2026-07-01,0
CUST122019,20.0,female,Mumbai,22.0,,Basic,358.07,7894.8,Auto Debit,Mobile Data,14.0,2.0,0.0,48.2,2026-06-15,0
CUST113539,33.0,male,Ahmedabad,58.0,One Year,Standard,573.95,28564.2,Auto Debit,DSL,12.0,2.0,2.0,69.0,2026-07-27,0
CUST143119,66.0,male,Delhi,6.0,Month-to-Month,Basic,404.82,,Cash,DSL,9.0,3.0,1.0,74.8,2026-07-18,0
CUST136421,20.0,male,Kochi,23.0,Month-to-Month,Standard,919.68,22996.57,UPI,Fiber,15.0,,1.0,37.7,2026-06-18,1
CUST109406,37.0,female,Jaipur,69.0,Month-to-Month,Standard,,62113.59,Auto Debit,Mobile Data,8.0,4.0,0.0,11.0,2026-09-11,1
CUST113414,27.0,female,Hyderabad,59.0,One Year,Standard,848.6,50859.28,Auto Debit,Cable,17.0,2.0,2.0,50.8,2026-08-06,0
CUST106721,67.0,male,Jaipur,8.0,One Year,Basic,582.97,4391.54,UPI,Cable,11.0,0.0,1.0,36.1,2026-07-23,0
CUST115602,29.0,female,Jaipur,14.0,Month-to-Month,Standard,840.94,11730.69,UPI,DSL,7.0,1.0,0.0,37.8,2026-06-16,1
CUST144744,25.0,female,Chennai,20.0,Two Year,Basic,618.12,11838.79,Auto Debit,DSL,14.0,4.0,1.0,97.7,2026-08-08,0
CUST131139,38.0,female,Hyderabad,4.0,Month-to-Month,Basic,418.66,,Credit Card,Fiber,12.0,3.0,2.0,21.7,2026-07-23,0
CUST102730,44.0,male,Ahmedabad,70.0,Month-to-Month,Basic,495.88,30560.2,UPI,Fiber,12.0,1.0,0.0,38.2,2026-07-09,0
CUST138243,55.0,male,Ahmedabad,61.0,Month-to-Month,Premium,1187.73,64030.11,Debit Card,Mobile Data,16.0,2.0,2.0,64.9,2026-08-31,1
CUST129626,68.0,male,Jaipur,32.0,Month-to-Month,Standard,885.0,26543.33,UPI,Fiber,8.0,2.0,0.0,72.6,2026-06-16,0
CUST147895,43.0,female,Hyderabad,5.0,Month-to-Month,Standard,830.64,4108.1,Debit Card,DSL,15.0,5.0,1.0,32.8,2026-08-02,1
CUST142091,32.0,male,Jaipur,44.0,Month-to-Month,Basic,499.2,24662.17,Debit Card,Mobile Data,15.0,0.0,0.0,38.1,2026-08-28,0
CUST136400,23.0,male,Hyderabad,30.0,Month-to-Month,Basic,439.24,14142.8,Net Banking,Mobile Data,14.0,2.0,0.0,26.0,2026-06-22,0
CUST106245,64.0,female,Bengaluru,14.0,Month-to-Month,Basic,630.03,8518.07,Auto Debit,DSL,13.0,3.0,2.0,50.5,2026-06-19,0
CUST105546,69.0,female,Kochi,26.0,Month-to-Month,Premium,1137.52,33564.98,Net Banking,Fiber,18.0,1.0,0.0,,2026-06-30,1
CUST104065,61.0,female,Kolkata,28.0,Two Year,Basic,622.43,16908.9,UPI,,14.0,2.0,0.0,24.8,2026-07-21,0
CUST112852,19.0,female,Chennai,68.0,One Year,Standard,772.22,,Credit Card,Fiber,12.0,4.0,0.0,24.5,2026-07-10,0
CUST121803,49.0,male,Jaipur,53.0,Month-to-Month,Premium,1326.5,74994.22,Net Banking,DSL,17.0,1.0,1.0,16.9,2026-06-15,1
CUST141164,45.0,female,Pune,54.0,One Year,Basic,375.33,22528.99,Auto Debit,Fiber,8.0,1.0,0.0,32.6,2026-08-15,0
CUST106233,26.0,male,Pune,38.0,Month-to-Month,Premium,1083.9,46053.17,UPI,Cable,15.0,2.0,2.0,5.0,2026-06-23,1
CUST103863,32.0,female,Hyderabad,4.0,Month-to-Month,Basic,576.05,2631.5,UPI,DSL,4.0,3.0,0.0,76.8,2026-08-12,0
CUST135095,29.0,female,Bengaluru,55.0,Month-to-Month,Standard,725.95,34581.56,UPI,Fiber,10.0,3.0,0.0,44.1,2026-08-04,0
CUST140196,34.0,other,Mumbai,4.0,Month-to-Month,Basic,419.51,1873.78,Auto Debit,Cable,19.0,2.0,2.0,53.6,2026-08-01,0
CUST139251,20.0,male,Delhi,1.0,Month-to-Month,Standard,816.88,824.39,Debit Card,DSL,9.0,1.0,0.0,15.8,2026-06-21,1
CUST106218,28.0,male,Hyderabad,28.0,One Year,Basic,548.4,16247.07,Auto Debit,Fiber,15.0,4.0,1.0,24.3,2026-08-12,0
CUST136776,35.0,female,Kolkata,64.0,Month-to-Month,Basic,253.07,16369.23,Auto Debit,Mobile Data,20.0,1.0,1.0,43.1,2026-08-27,0
CUST142977,43.0,female,Hyderabad,9.0,One Year,Standard,712.51,6979.74,Auto Debit,Fiber,11.0,2.0,0.0,49.1,2026-08-17,0
CUST119143,19.0,female,Mumbai,9.0,One Year,Standard,753.59,7050.93,UPI,Cable,15.0,4.0,1.0,70.1,2026-07-23,1
CUST114832,66.0,male,Mumbai,36.0,Month-to-Month,Basic,578.38,21346.7,Cash,Fiber,10.0,3.0,0.0,59.3,2026-06-20,0
CUST130093,43.0,male,Ahmedabad,14.0,Month-to-Month,Standard,717.31,10583.64,Debit Card,DSL,17.0,6.0,1.0,42.7,2026-07-13,1
CUST108894,40.0,female,Chennai,59.0,One Year,Basic,570.97,32136.6,Debit Card,Fiber,19.0,3.0,0.0,23.2,2026-07-10,0
CUST106021,32.0,female,Kochi,15.0,Month-to-Month,Basic,364.18,5993.61,UPI,DSL,9.0,0.0,0.0,67.8,2026-07-13,0
CUST146089,51.0,female,Jaipur,23.0,Month-to-Month,Premium,1138.58,24281.51,Debit Card,DSL,6.0,3.0,2.0,47.5,2026-09-03,1
CUST115243,36.0,female,Hyderabad,54.0,Month-to-Month,Standard,663.93,33376.34,Net Banking,Fiber,14.0,1.0,4.0,50.3,2026-08-30,0
CUST145308,49.0,female,,34.0,One Year,Standard,882.62,26048.47,UPI,Fiber,10.0,2.0,3.0,47.4,2026-06-19,0
CUST126551,68.0,female,Delhi,21.0,Month-to-Month,Basic,364.59,7795.6,Cash,DSL,14.0,1.0,1.0,36.4,2026-07-08,0
CUST106035,32.0,male,Pune,42.0,One Year,Standard,845.21,35347.33,UPI,Fiber,15.0,7.0,0.0,34.6,2026-07-22,1
CUST107906,72.0,male,Hyderabad,43.0,One Year,Standard,816.88,40339.92,UPI,DSL,14.0,2.0,0.0,28.1,2026-06-27,1
CUST132226,63.0,male,Ahmedabad,42.0,Two Year,Premium,1235.41,49646.88,Auto Debit,Fiber,9.0,0.0,0.0,41.4,2026-08-03,1
CUST106018,22.0,male,Delhi,47.0,One Year,Basic,733.72,39458.52,Auto Debit,Cable,6.0,2.0,0.0,28.9,2026-07-07,1
CUST121880,71.0,male,Hyderabad,45.0,Month-to-Month,Premium,1114.85,55724.44,Auto Debit,DSL,6.0,1.0,1.0,67.7,2026-06-24,1
CUST102792,27.0,female,Jaipur,3.0,Month-to-Month,Standard,769.96,2597.61,UPI,DSL,15.0,2.0,0.0,38.0,2026-06-27,0
CUST142606,49.0,female,Mumbai,66.0,Two Year,Premium,1333.85,80685.73,Credit Card,Mobile Data,19.0,3.0,1.0,29.2,2026-08-17,1
CUST105824,26.0,female,Pune,25.0,Month-to-Month,Premium,1133.15,31976.55,Net Banking,DSL,19.0,1.0,0.0,19.0,2026-06-22,1
CUST115388,31.0,female,Chennai,69.0,Two Year,Basic,,34403.24,Auto Debit,Mobile Data,22.0,2.0,0.0,44.1,2026-08-11,0
CUST129562,50.0,male,Jaipur,14.0,Month-to-Month,Standard,904.49,13008.15,UPI,Fiber,14.0,2.0,1.0,20.0,2026-07-29,1
CUST139476,73.0,male,Kolkata,52.0,Month-to-Month,Premium,1188.24,62647.35,UPI,,12.0,1.0,0.0,,2026-09-02,1
CUST100293,73.0,male,Mumbai,4.0,Month-to-Month,Basic,618.64,2834.34,Auto Debit,Mobile Data,18.0,3.0,1.0,32.0,2026-07-03,0
CUST116958,34.0,female,Hyderabad,59.0,Month-to-Month,Basic,488.94,30759.92,Net Banking,Fiber,11.0,2.0,1.0,36.9,2026-08-23,0
CUST130861,31.0,female,Mumbai,36.0,One Year,Premium,1288.7,42066.54,Net Banking,DSL,5.0,2.0,1.0,40.2,2026-08-23,1
CUST114074,23.0,female,Kolkata,12.0,Month-to-Month,Basic,555.15,6591.88,Debit Card,Fiber,14.0,2.0,1.0,67.5,2026-06-17,0
CUST121857,34.0,female,Jaipur,12.0,Month-to-Month,Standard,628.17,7334.82,Net Banking,DSL,3.0,0.0,1.0,25.2,2026-08-19,0
